=== Trace for PID 419 ===
Process: setup.cgi

--- Self PID 419 Trace ---
  [139] inode: 32774, pc: 0x0002f980, module: libc.so.0, symbol: strcoll
  [140] inode: 8362, pc: 0x000084e8, module: setup.cgi, symbol: CallActionByName
  [141] inode: 8362, pc: 0x00008518, module: setup.cgi, symbol: CallActionByName
  [142] inode: 8362, pc: 0x000084f0, module: setup.cgi, symbol: CallActionByName
  [143] inode: 32774, pc: 0x0002f980, module: libc.so.0, symbol: strcoll
  [144] inode: 8362, pc: 0x000084e8, module: setup.cgi, symbol: CallActionByName
  [145] inode: 8362, pc: 0x00008518, module: setup.cgi, symbol: CallActionByName
  [146] inode: 8362, pc: 0x000084f0, module: setup.cgi, symbol: CallActionByName
  [147] inode: 32774, pc: 0x0002f980, module: libc.so.0, symbol: strcoll
  [148] inode: 8362, pc: 0x000084e8, module: setup.cgi, symbol: CallActionByName
  [149] inode: 8362, pc: 0x00008518, module: setup.cgi, symbol: CallActionByName
  [150] inode: 8362, pc: 0x000084f0, module: setup.cgi, symbol: CallActionByName
  [151] inode: 32774, pc: 0x0002f980, module: libc.so.0, symbol: strcoll
  [152] inode: 8362, pc: 0x000084e8, module: setup.cgi, symbol: CallActionByName
  [153] inode: 8362, pc: 0x00008518, module: setup.cgi, symbol: CallActionByName
  [154] inode: 8362, pc: 0x000084f0, module: setup.cgi, symbol: CallActionByName
  [155] inode: 32774, pc: 0x0002f980, module: libc.so.0, symbol: strcoll
  [156] inode: 8362, pc: 0x000084e8, module: setup.cgi, symbol: CallActionByName
  [157] inode: 8362, pc: 0x00008518, module: setup.cgi, symbol: CallActionByName
  [158] inode: 8362, pc: 0x000084f0, module: setup.cgi, symbol: CallActionByName
  [159] inode: 32774, pc: 0x0002f980, module: libc.so.0, symbol: strcoll
  [160] inode: 8362, pc: 0x000084e8, module: setup.cgi, symbol: CallActionByName
  [161] inode: 8362, pc: 0x00008520, module: setup.cgi, symbol: CallActionByName
  [162] inode: 8362, pc: 0x000084e0, module: setup.cgi, symbol: CallActionByName
  [163] inode: 8362, pc: 0x000106d8, module: setup.cgi, symbol: find_val
  [164] inode: 8362, pc: 0x000106cc, module: setup.cgi, symbol: find_val
  [165] inode: 8362, pc: 0x00011d10, module: setup.cgi, symbol: FindEntryData
  [166] inode: 8362, pc: 0x00011d00, module: setup.cgi, symbol: FindEntryData
  [167] inode: 8362, pc: 0x000105a4, module: setup.cgi
  [168] inode: 8362, pc: 0x00010574, module: setup.cgi
  [169] inode: 8362, pc: 0x0001056c, module: setup.cgi
  [170] inode: 32774, pc: 0x0002f980, module: libc.so.0, symbol: strcoll
  [171] inode: 8362, pc: 0x0001055c, module: setup.cgi
  [172] inode: 8362, pc: 0x00010500, module: setup.cgi
  [173] inode: 8362, pc: 0x00011cf4, module: setup.cgi, symbol: FindEntryData
  [174] inode: 8362, pc: 0x00011ce0, module: setup.cgi, symbol: FindEntryData
  [175] inode: 8362, pc: 0x00011cd8, module: setup.cgi, symbol: FindEntryData
  [176] inode: 8362, pc: 0x000105a4, module: setup.cgi
  [177] inode: 8362, pc: 0x00010574, module: setup.cgi
  [178] inode: 8362, pc: 0x0001056c, module: setup.cgi
  [179] inode: 32774, pc: 0x0002f984, module: libc.so.0, symbol: strcoll
  [180] inode: 8362, pc: 0x0001055c, module: setup.cgi
  [181] inode: 8362, pc: 0x00010500, module: setup.cgi
  [182] inode: 8362, pc: 0x00011ccc, module: setup.cgi, symbol: FindEntryData
  [183] inode: 8362, pc: 0x00011ce4, module: setup.cgi, symbol: FindEntryData
  [184] inode: 8362, pc: 0x00011cb8, module: setup.cgi, symbol: FindEntryData
  [185] inode: 8362, pc: 0x00011c90, module: setup.cgi, symbol: FindEntryData
  [186] inode: 8362, pc: 0x00010698, module: setup.cgi, symbol: find_val
  [187] inode: 8362, pc: 0x000084a0, module: setup.cgi, symbol: CallActionByName
  [188] inode: 8362, pc: 0x00008354, module: setup.cgi, symbol: setup_main
  [189] inode: 8362, pc: 0x0000834c, module: setup.cgi, symbol: setup_main
  [190] inode: 8362, pc: 0x000106d4, module: setup.cgi, symbol: find_val
  [191] inode: 8362, pc: 0x000106cc, module: setup.cgi, symbol: find_val
  [192] inode: 8362, pc: 0x00011d14, module: setup.cgi, symbol: FindEntryData
  [193] inode: 8362, pc: 0x00011d08, module: setup.cgi, symbol: FindEntryData
  [194] inode: 8362, pc: 0x00011d00, module: setup.cgi, symbol: FindEntryData
  [195] inode: 8362, pc: 0x000105a4, module: setup.cgi
  [196] inode: 8362, pc: 0x00010588, module: setup.cgi
  [197] inode: 8362, pc: 0x0001057c, module: setup.cgi
  [198] inode: 8362, pc: 0x0001056c, module: setup.cgi
  [199] inode: 32774, pc: 0x0002f980, module: libc.so.0, symbol: strcoll
  [200] inode: 8362, pc: 0x0001055c, module: setup.cgi
  [201] inode: 8362, pc: 0x00010500, module: setup.cgi
  [202] inode: 8362, pc: 0x00011cf4, module: setup.cgi, symbol: FindEntryData
  [203] inode: 8362, pc: 0x00011ce0, module: setup.cgi, symbol: FindEntryData
  [204] inode: 8362, pc: 0x00011cd8, module: setup.cgi, symbol: FindEntryData
  [205] inode: 8362, pc: 0x000105a4, module: setup.cgi
  [206] inode: 8362, pc: 0x00010574, module: setup.cgi
  [207] inode: 8362, pc: 0x0001056c, module: setup.cgi
  [208] inode: 32774, pc: 0x0002f980, module: libc.so.0, symbol: strcoll
  [209] inode: 8362, pc: 0x0001055c, module: setup.cgi
  [210] inode: 8362, pc: 0x00010500, module: setup.cgi
  [211] inode: 8362, pc: 0x00011ccc, module: setup.cgi, symbol: FindEntryData
  [212] inode: 8362, pc: 0x00011ce4, module: setup.cgi, symbol: FindEntryData
  [213] inode: 8362, pc: 0x00011cb8, module: setup.cgi, symbol: FindEntryData
  [214] inode: 8362, pc: 0x00011c90, module: setup.cgi, symbol: FindEntryData
  [215] inode: 8362, pc: 0x00010698, module: setup.cgi, symbol: find_val
  [216] inode: 8362, pc: 0x00008334, module: setup.cgi, symbol: setup_main
  [217] inode: 8362, pc: 0x00008318, module: setup.cgi, symbol: setup_main
  [218] inode: 8362, pc: 0x00010fe8, module: setup.cgi, symbol: is_form_empty
  [219] inode: 8362, pc: 0x00010f20, module: setup.cgi, symbol: is_form_empty
  [220] inode: 8362, pc: 0x00010f18, module: setup.cgi, symbol: is_form_empty
  [221] inode: 32774, pc: 0x0002f980, module: libc.so.0, symbol: strcoll
  [222] inode: 8362, pc: 0x00010efc, module: setup.cgi, symbol: is_form_empty
  [223] inode: 32774, pc: 0x0002b8b0, module: libc.so.0, symbol: getenv
  [224] inode: 8362, pc: 0x00010eec, module: setup.cgi, symbol: is_form_empty
  [225] inode: 8362, pc: 0x00010ee0, module: setup.cgi, symbol: is_form_empty
  [226] inode: 32774, pc: 0x0002b8b0, module: libc.so.0, symbol: getenv
  [227] inode: 8362, pc: 0x00010ecc, module: setup.cgi, symbol: is_form_empty
  [228] inode: 8362, pc: 0x00010ec4, module: setup.cgi, symbol: is_form_empty
  [229] inode: 32774, pc: 0x0002f980, module: libc.so.0, symbol: strcoll
  [230] inode: 8362, pc: 0x00010ea8, module: setup.cgi, symbol: is_form_empty
  [231] inode: 32774, pc: 0x0002b8b0, module: libc.so.0, symbol: getenv
  [232] inode: 8362, pc: 0x00010e98, module: setup.cgi, symbol: is_form_empty
  [233] inode: 8362, pc: 0x00010e90, module: setup.cgi, symbol: is_form_empty
  [234] inode: 32774, pc: 0x0002b8b0, module: libc.so.0, symbol: getenv
  [235] inode: 8362, pc: 0x00010e58, module: setup.cgi, symbol: is_form_empty
  [236] inode: 8362, pc: 0x0000830c, module: setup.cgi, symbol: setup_main
  [237] inode: 8362, pc: 0x00008300, module: setup.cgi, symbol: setup_main
  [238] inode: 8362, pc: 0x0001160c, module: setup.cgi
  [239] inode: 8362, pc: 0x000115fc, module: setup.cgi
  [240] inode: 32774, pc: 0x0002fe00, module: libc.so.0, symbol: strtok
  [241] inode: 8362, pc: 0x000115ec, module: setup.cgi
  [242] inode: 8362, pc: 0x000115ac, module: setup.cgi
  [243] inode: 8362, pc: 0x000121b8, module: setup.cgi, symbol: InsertEntry
  [244] inode: 8362, pc: 0x00012184, module: setup.cgi, symbol: InsertEntry
  [245] inode: 8362, pc: 0x00012178, module: setup.cgi, symbol: InsertEntry
  [246] inode: 8362, pc: 0x00012170, module: setup.cgi, symbol: InsertEntry
  [247] inode: 8362, pc: 0x0001214c, module: setup.cgi, symbol: InsertEntry
  [248] inode: 8362, pc: 0x0001213c, module: setup.cgi, symbol: InsertEntry
  [249] inode: 8362, pc: 0x00010630, module: setup.cgi
  [250] inode: 8362, pc: 0x000105fc, module: setup.cgi
  [251] inode: 32774, pc: 0x0002f980, module: libc.so.0, symbol: strcoll
  [252] inode: 8362, pc: 0x000105f0, module: setup.cgi
  [253] inode: 8362, pc: 0x00012130, module: setup.cgi, symbol: InsertEntry
  [254] inode: 8362, pc: 0x00012120, module: setup.cgi, symbol: InsertEntry
  [255] inode: 8362, pc: 0x000120a8, module: setup.cgi, symbol: InsertEntry
  [256] inode: 8362, pc: 0x0001209c, module: setup.cgi, symbol: InsertEntry
  [257] inode: 32774, pc: 0x0002f650, module: libc.so.0, symbol: memcpy
  [258] inode: 8362, pc: 0x00012088, module: setup.cgi, symbol: InsertEntry
  [259] inode: 8362, pc: 0x0001207c, module: setup.cgi, symbol: InsertEntry
  [260] inode: 32774, pc: 0x0002d78c, module: libc.so.0, symbol: malloc
  [261] inode: 8362, pc: 0x0001206c, module: setup.cgi, symbol: InsertEntry
  [262] inode: 8362, pc: 0x00012060, module: setup.cgi, symbol: InsertEntry
  [263] inode: 32774, pc: 0x0002d78c, module: libc.so.0, symbol: malloc
  [264] inode: 8362, pc: 0x0001204c, module: setup.cgi, symbol: InsertEntry
  [265] inode: 8362, pc: 0x00012040, module: setup.cgi, symbol: InsertEntry
  [266] inode: 8362, pc: 0x00012000, module: setup.cgi, symbol: InsertEntry
  [267] inode: 8362, pc: 0x00011ff4, module: setup.cgi, symbol: InsertEntry
  [268] inode: 8362, pc: 0x00011580, module: setup.cgi
  [269] inode: 8362, pc: 0x000113ec, module: setup.cgi
  [270] inode: 8362, pc: 0x00011378, module: setup.cgi
  [271] inode: 8362, pc: 0x00011370, module: setup.cgi
  [272] inode: 32774, pc: 0x0002fa90, module: libc.so.0, symbol: strlen
  [273] inode: 8362, pc: 0x0001135c, module: setup.cgi
  [274] inode: 32774, pc: 0x0002ea78, module: libc.so.0, symbol: free
  [275] inode: 8362, pc: 0x00011344, module: setup.cgi
  [276] inode: 8362, pc: 0x00011274, module: setup.cgi
  [277] inode: 8362, pc: 0x0001124c, module: setup.cgi
  [278] inode: 8362, pc: 0x00011230, module: setup.cgi
  [279] inode: 8362, pc: 0x000111f0, module: setup.cgi
  [280] inode: 8362, pc: 0x00011230, module: setup.cgi
  [281] inode: 8362, pc: 0x000111f0, module: setup.cgi
  [282] inode: 8362, pc: 0x00011230, module: setup.cgi
  [283] inode: 8362, pc: 0x000111f0, module: setup.cgi
  [284] inode: 8362, pc: 0x00011230, module: setup.cgi
  [285] inode: 8362, pc: 0x000111f0, module: setup.cgi
  [286] inode: 8362, pc: 0x00011230, module: setup.cgi
  [287] inode: 8362, pc: 0x000111f0, module: setup.cgi
  [288] inode: 8362, pc: 0x00011230, module: setup.cgi
  [289] inode: 8362, pc: 0x000111f0, module: setup.cgi
  [290] inode: 8362, pc: 0x00011230, module: setup.cgi
  [291] inode: 8362, pc: 0x000111f0, module: setup.cgi
  [292] inode: 8362, pc: 0x00011230, module: setup.cgi
  [293] inode: 8362, pc: 0x000111f0, module: setup.cgi
  [294] inode: 8362, pc: 0x00011230, module: setup.cgi
  [295] inode: 8362, pc: 0x000111f0, module: setup.cgi
  [296] inode: 8362, pc: 0x00011230, module: setup.cgi
  [297] inode: 8362, pc: 0x000111f0, module: setup.cgi
  [298] inode: 8362, pc: 0x00011230, module: setup.cgi
  [299] inode: 8362, pc: 0x000111f0, module: setup.cgi
Total Self trace elements: 300

--- Parent PID 324 Trace ---
  [000] inode: 8328, pc: 0x000017a8, module: mini_httpd
  [001] inode: 32774, pc: 0x000366d8, module: libc.so.0, symbol: usleep
  [002] inode: 8328, pc: 0x00001784, module: mini_httpd
  [003] inode: 32774, pc: 0x000349d4, module: libc.so.0, symbol: sysinfo
  [004] inode: 8328, pc: 0x00001778, module: mini_httpd
  [005] inode: 8328, pc: 0x000066e0, module: mini_httpd, symbol: main
  [006] inode: 8328, pc: 0x00006694, module: mini_httpd, symbol: main
  [007] inode: 8328, pc: 0x00006678, module: mini_httpd, symbol: main
  [008] inode: 8328, pc: 0x00006634, module: mini_httpd, symbol: main
  [009] inode: 8328, pc: 0x0000662c, module: mini_httpd, symbol: main
  [010] inode: 8328, pc: 0x000065f0, module: mini_httpd, symbol: main
  [011] inode: 8328, pc: 0x000065c8, module: mini_httpd, symbol: main
  [012] inode: 8328, pc: 0x000065b8, module: mini_httpd, symbol: main
  [013] inode: 8328, pc: 0x000065a0, module: mini_httpd, symbol: main
  [014] inode: 8328, pc: 0x000065a0, module: mini_httpd, symbol: main
  [015] inode: 8328, pc: 0x000065a0, module: mini_httpd, symbol: main
  [016] inode: 8328, pc: 0x000065a0, module: mini_httpd, symbol: main
  [017] inode: 8328, pc: 0x000065a0, module: mini_httpd, symbol: main
  [018] inode: 8328, pc: 0x000065a0, module: mini_httpd, symbol: main
  [019] inode: 8328, pc: 0x000065a0, module: mini_httpd, symbol: main
  [020] inode: 8328, pc: 0x000065a0, module: mini_httpd, symbol: main
  [021] inode: 8328, pc: 0x000065a0, module: mini_httpd, symbol: main
  [022] inode: 8328, pc: 0x000065a0, module: mini_httpd, symbol: main
  [023] inode: 8328, pc: 0x000065a0, module: mini_httpd, symbol: main
  [024] inode: 8328, pc: 0x000065a0, module: mini_httpd, symbol: main
  [025] inode: 8328, pc: 0x000065a0, module: mini_httpd, symbol: main
  [026] inode: 8328, pc: 0x000065a0, module: mini_httpd, symbol: main
  [027] inode: 8328, pc: 0x000065a0, module: mini_httpd, symbol: main
  [028] inode: 8328, pc: 0x000065a0, module: mini_httpd, symbol: main
  [029] inode: 8328, pc: 0x000065a0, module: mini_httpd, symbol: main
  [030] inode: 8328, pc: 0x000065a0, module: mini_httpd, symbol: main
  [031] inode: 8328, pc: 0x000065a0, module: mini_httpd, symbol: main
  [032] inode: 8328, pc: 0x000065a0, module: mini_httpd, symbol: main
  [033] inode: 8328, pc: 0x000065a0, module: mini_httpd, symbol: main
  [034] inode: 8328, pc: 0x000065a0, module: mini_httpd, symbol: main
  [035] inode: 8328, pc: 0x000065a0, module: mini_httpd, symbol: main
  [036] inode: 8328, pc: 0x000065a0, module: mini_httpd, symbol: main
  [037] inode: 8328, pc: 0x000065a0, module: mini_httpd, symbol: main
  [038] inode: 8328, pc: 0x000065a0, module: mini_httpd, symbol: main
  [039] inode: 8328, pc: 0x000065a0, module: mini_httpd, symbol: main
  [040] inode: 8328, pc: 0x000065a0, module: mini_httpd, symbol: main
  [041] inode: 8328, pc: 0x000065a0, module: mini_httpd, symbol: main
  [042] inode: 8328, pc: 0x000065a0, module: mini_httpd, symbol: main
  [043] inode: 8328, pc: 0x000065a0, module: mini_httpd, symbol: main
  [044] inode: 8328, pc: 0x000065a0, module: mini_httpd, symbol: main
  [045] inode: 8328, pc: 0x000068b8, module: mini_httpd, symbol: main
  [046] inode: 32774, pc: 0x00030b84, module: libc.so.0, symbol: close
  [047] inode: 8328, pc: 0x000068b0, module: mini_httpd, symbol: main
  [048] inode: 8328, pc: 0x0000688c, module: mini_httpd, symbol: main
  [049] inode: 32774, pc: 0x00030644, module: libc.so.0, symbol: access
  [050] inode: 8328, pc: 0x0000687c, module: mini_httpd, symbol: main
  [051] inode: 8328, pc: 0x000067ec, module: mini_httpd, symbol: main
  [052] inode: 8328, pc: 0x000067e0, module: mini_httpd, symbol: main
  [053] inode: 32774, pc: 0x00031114, module: libc.so.0, symbol: fork
  [054] inode: 8328, pc: 0x000067d0, module: mini_httpd, symbol: main
  [055] inode: 32774, pc: 0x0002f9b0, module: libc.so.0, symbol: strcpy
  [056] inode: 8328, pc: 0x000067b8, module: mini_httpd, symbol: main
  [057] inode: 32774, pc: 0x00008fb4, module: libc.so.0, symbol: inet_ntoa
