=== Trace for PID 2215 ===
Process: ethlink

--- Self PID 2215 Trace ---
  [019] inode: 32770, pc: 0x000126bc, module: busybox
  [020] inode: 32770, pc: 0x000126a0, module: busybox
  [021] inode: 32770, pc: 0x0004608c, module: busybox
  [022] inode: 32770, pc: 0x000460c0, module: busybox
  [023] inode: 32770, pc: 0x0004609c, module: busybox
  [024] inode: 32770, pc: 0x000126c4, module: busybox
  [025] inode: 32770, pc: 0x000126bc, module: busybox
  [026] inode: 32770, pc: 0x000126a0, module: busybox
  [027] inode: 32770, pc: 0x0004608c, module: busybox
  [028] inode: 32770, pc: 0x000460c0, module: busybox
  [029] inode: 32770, pc: 0x0004609c, module: busybox
  [030] inode: 32770, pc: 0x000126c4, module: busybox
  [031] inode: 32770, pc: 0x000126bc, module: busybox
  [032] inode: 32770, pc: 0x000126a0, module: busybox
  [033] inode: 32770, pc: 0x0004608c, module: busybox
  [034] inode: 32770, pc: 0x000460c0, module: busybox
  [035] inode: 32770, pc: 0x0004609c, module: busybox
  [036] inode: 32770, pc: 0x000126c4, module: busybox
  [037] inode: 32770, pc: 0x000126bc, module: busybox
  [038] inode: 32770, pc: 0x000126a0, module: busybox
  [039] inode: 32770, pc: 0x0004608c, module: busybox
  [040] inode: 32770, pc: 0x000460c0, module: busybox
  [041] inode: 32770, pc: 0x0004609c, module: busybox
  [042] inode: 32770, pc: 0x000126c4, module: busybox
  [043] inode: 32770, pc: 0x000126bc, module: busybox
  [044] inode: 32770, pc: 0x000126a0, module: busybox
  [045] inode: 32770, pc: 0x0004608c, module: busybox
  [046] inode: 32770, pc: 0x000460c0, module: busybox
  [047] inode: 32770, pc: 0x0004609c, module: busybox
  [048] inode: 32770, pc: 0x000126c4, module: busybox
  [049] inode: 32770, pc: 0x000126bc, module: busybox
  [050] inode: 32770, pc: 0x000126a0, module: busybox
  [051] inode: 32770, pc: 0x0004608c, module: busybox
  [052] inode: 32770, pc: 0x000460c0, module: busybox
  [053] inode: 32770, pc: 0x0004609c, module: busybox
  [054] inode: 32770, pc: 0x000126c4, module: busybox
  [055] inode: 32770, pc: 0x000126bc, module: busybox
  [056] inode: 32770, pc: 0x000126a0, module: busybox
  [057] inode: 32770, pc: 0x0004608c, module: busybox
  [058] inode: 32770, pc: 0x000460c0, module: busybox
  [059] inode: 32770, pc: 0x0004609c, module: busybox
  [060] inode: 32770, pc: 0x000126c4, module: busybox
  [061] inode: 32770, pc: 0x000126bc, module: busybox
  [062] inode: 32770, pc: 0x000126a0, module: busybox
  [063] inode: 32770, pc: 0x0004608c, module: busybox
  [064] inode: 32770, pc: 0x000460c0, module: busybox
