=== Trace for PID 2811 ===
Process: setup.cgi

--- Self PID 2811 Trace ---
  [192] inode: 49218, pc: 0x0004cd00, module: libuClibc-0.9.30.so
  [193] inode: 41344, pc: 0x00063040, module: setup.cgi
  [194] inode: 41344, pc: 0x00020188, module: setup.cgi
  [195] inode: 41344, pc: 0x000213f8, module: setup.cgi
  [196] inode: 41344, pc: 0x0002141c, module: setup.cgi
  [197] inode: 41344, pc: 0x00021428, module: setup.cgi
  [198] inode: 41344, pc: 0x0002143c, module: setup.cgi
  [199] inode: 41344, pc: 0x00021448, module: setup.cgi
  [200] inode: 41344, pc: 0x00020cc4, module: setup.cgi
  [201] inode: 41344, pc: 0x00020d34, module: setup.cgi
  [202] inode: 49218, pc: 0x0002f920, module: libuClibc-0.9.30.so
  [203] inode: 41344, pc: 0x00020d44, module: setup.cgi
  [204] inode: 41344, pc: 0x00020d74, module: setup.cgi
  [205] inode: 41344, pc: 0x00021454, module: setup.cgi
  [206] inode: 41344, pc: 0x00021460, module: setup.cgi
  [207] inode: 41344, pc: 0x0002143c, module: setup.cgi
  [208] inode: 41344, pc: 0x0002146c, module: setup.cgi
  [209] inode: 41344, pc: 0x00020cc4, module: setup.cgi
  [210] inode: 41344, pc: 0x00020d34, module: setup.cgi
  [211] inode: 49218, pc: 0x0002f920, module: libuClibc-0.9.30.so
  [212] inode: 41344, pc: 0x00020d44, module: setup.cgi
  [213] inode: 41344, pc: 0x00020d74, module: setup.cgi
  [214] inode: 41344, pc: 0x00021478, module: setup.cgi
  [215] inode: 41344, pc: 0x00021488, module: setup.cgi
  [216] inode: 41344, pc: 0x000201bc, module: setup.cgi
  [217] inode: 41344, pc: 0x000201cc, module: setup.cgi
  [218] inode: 41344, pc: 0x0006305c, module: setup.cgi
  [219] inode: 41344, pc: 0x00063088, module: setup.cgi
  [220] inode: 41344, pc: 0x00063090, module: setup.cgi
  [221] inode: 41344, pc: 0x000630e4, module: setup.cgi
  [222] inode: 41344, pc: 0x0000ea20, module: setup.cgi
  [223] inode: 41344, pc: 0x0000ea4c, module: setup.cgi
  [224] inode: 49154, pc: 0x00004bfc, module: ld-uClibc-0.9.30.so
  [225] inode: 41344, pc: 0x0000ea60, module: setup.cgi
  [226] inode: 41344, pc: 0x0000ea6c, module: setup.cgi
  [227] inode: 41344, pc: 0x0001f910, module: setup.cgi
  [228] inode: 49218, pc: 0x0004cd30, module: libuClibc-0.9.30.so
  [229] inode: 41344, pc: 0x0001f91c, module: setup.cgi
  [230] inode: 41344, pc: 0x0001f92c, module: setup.cgi
  [231] inode: 49218, pc: 0x0004cd00, module: libuClibc-0.9.30.so
  [232] inode: 41344, pc: 0x0001f934, module: setup.cgi
  [233] inode: 49218, pc: 0x0002f920, module: libuClibc-0.9.30.so
  [234] inode: 41344, pc: 0x0001f94c, module: setup.cgi
