=== Trace for PID 308 ===
Process: network.cgi

--- Self PID 308 Trace ---
  [240] inode: 16467, pc: 0x00008b64, module: boa, symbol: complete_env
  [241] inode: 16467, pc: 0x00008838, module: boa, symbol: add_cgi_env
  [242] inode: 16467, pc: 0x00008800, module: boa, symbol: add_cgi_env
  [243] inode: 16467, pc: 0x000087ec, module: boa, symbol: add_cgi_env
  [244] inode: 16467, pc: 0x00008498, module: boa
  [245] inode: 41012, pc: 0x00030440, module: libuClibc-0.9.30.so, symbol: memcpy
  [246] inode: 16467, pc: 0x0000846c, module: boa
  [247] inode: 41012, pc: 0x00030440, module: libuClibc-0.9.30.so, symbol: memcpy
  [248] inode: 16467, pc: 0x00008464, module: boa
  [249] inode: 16467, pc: 0x0000843c, module: boa
  [250] inode: 41012, pc: 0x0004e2d4, module: libuClibc-0.9.30.so, symbol: malloc
  [251] inode: 16467, pc: 0x00008420, module: boa
  [252] inode: 41012, pc: 0x00031350, module: libuClibc-0.9.30.so, symbol: strlen
  [253] inode: 16467, pc: 0x00008408, module: boa
  [254] inode: 41012, pc: 0x00031350, module: libuClibc-0.9.30.so, symbol: strlen
  [255] inode: 16467, pc: 0x00008400, module: boa
  [256] inode: 16467, pc: 0x000083b8, module: boa
  [257] inode: 16467, pc: 0x000087d8, module: boa, symbol: add_cgi_env
  [258] inode: 16467, pc: 0x00008788, module: boa, symbol: add_cgi_env
  [259] inode: 16467, pc: 0x00008b44, module: boa, symbol: complete_env
  [260] inode: 16467, pc: 0x00012078, module: boa, symbol: simple_itoa
  [261] inode: 16467, pc: 0x00012048, module: boa, symbol: simple_itoa
  [262] inode: 16467, pc: 0x00012048, module: boa, symbol: simple_itoa
  [263] inode: 16467, pc: 0x00012048, module: boa, symbol: simple_itoa
  [264] inode: 16467, pc: 0x00012048, module: boa, symbol: simple_itoa
  [265] inode: 16467, pc: 0x00012038, module: boa, symbol: simple_itoa
  [266] inode: 16467, pc: 0x00008b34, module: boa, symbol: complete_env
  [267] inode: 16467, pc: 0x00008b28, module: boa, symbol: complete_env
  [268] inode: 16467, pc: 0x00008838, module: boa, symbol: add_cgi_env
  [269] inode: 16467, pc: 0x00008800, module: boa, symbol: add_cgi_env
  [270] inode: 16467, pc: 0x000087ec, module: boa, symbol: add_cgi_env
  [271] inode: 16467, pc: 0x00008498, module: boa
  [272] inode: 41012, pc: 0x00030440, module: libuClibc-0.9.30.so, symbol: memcpy
  [273] inode: 16467, pc: 0x0000846c, module: boa
  [274] inode: 41012, pc: 0x00030440, module: libuClibc-0.9.30.so, symbol: memcpy
  [275] inode: 16467, pc: 0x00008464, module: boa
  [276] inode: 16467, pc: 0x0000843c, module: boa
