=== Trace for PID 2232 ===
Process: mini_httpd

--- Self PID 2232 Trace ---
  [165] inode: 41301, pc: 0x00002074, module: mini_httpd
  [166] inode: 41301, pc: 0x00002018, module: mini_httpd
  [167] inode: 41301, pc: 0x00002000, module: mini_httpd
  [168] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [169] inode: 41301, pc: 0x00002074, module: mini_httpd
  [170] inode: 41301, pc: 0x00002018, module: mini_httpd
  [171] inode: 41301, pc: 0x00002000, module: mini_httpd
  [172] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [173] inode: 41301, pc: 0x00002074, module: mini_httpd
  [174] inode: 41301, pc: 0x00002018, module: mini_httpd
  [175] inode: 41301, pc: 0x00002000, module: mini_httpd
  [176] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [177] inode: 41301, pc: 0x00002074, module: mini_httpd
  [178] inode: 41301, pc: 0x00002018, module: mini_httpd
  [179] inode: 41301, pc: 0x00002000, module: mini_httpd
  [180] inode: 41301, pc: 0x00001fe8, module: mini_httpd
  [181] inode: 41301, pc: 0x00001fc0, module: mini_httpd
  [182] inode: 41301, pc: 0x000062c0, module: mini_httpd
  [183] inode: 41301, pc: 0x00006214, module: mini_httpd
  [184] inode: 16450, pc: 0x00030730, module: libuClibc-0.9.30.so, symbol: strncasecmp
  [185] inode: 41301, pc: 0x00006200, module: mini_httpd
  [186] inode: 41301, pc: 0x000061c8, module: mini_httpd
  [187] inode: 16450, pc: 0x00030730, module: libuClibc-0.9.30.so, symbol: strncasecmp
  [188] inode: 41301, pc: 0x000061b4, module: mini_httpd
  [189] inode: 41301, pc: 0x0000617c, module: mini_httpd
  [190] inode: 16450, pc: 0x00030730, module: libuClibc-0.9.30.so, symbol: strncasecmp
  [191] inode: 41301, pc: 0x00006168, module: mini_httpd
  [192] inode: 41301, pc: 0x00006130, module: mini_httpd
  [193] inode: 16450, pc: 0x00030730, module: libuClibc-0.9.30.so, symbol: strncasecmp
  [194] inode: 41301, pc: 0x0000611c, module: mini_httpd
  [195] inode: 41301, pc: 0x000060d8, module: mini_httpd
  [196] inode: 16450, pc: 0x00030730, module: libuClibc-0.9.30.so, symbol: strncasecmp
  [197] inode: 41301, pc: 0x000060c4, module: mini_httpd
  [198] inode: 41301, pc: 0x00006094, module: mini_httpd
  [199] inode: 16450, pc: 0x00030730, module: libuClibc-0.9.30.so, symbol: strncasecmp
  [200] inode: 41301, pc: 0x00006080, module: mini_httpd
  [201] inode: 41301, pc: 0x00006050, module: mini_httpd
  [202] inode: 16450, pc: 0x00030730, module: libuClibc-0.9.30.so, symbol: strncasecmp
  [203] inode: 41301, pc: 0x0000603c, module: mini_httpd
  [204] inode: 41301, pc: 0x00006004, module: mini_httpd
  [205] inode: 16450, pc: 0x00030730, module: libuClibc-0.9.30.so, symbol: strncasecmp
  [206] inode: 41301, pc: 0x00006000, module: mini_httpd
  [207] inode: 41301, pc: 0x00005ff0, module: mini_httpd
  [208] inode: 41301, pc: 0x00005fac, module: mini_httpd
  [209] inode: 16450, pc: 0x00030730, module: libuClibc-0.9.30.so, symbol: strncasecmp
  [210] inode: 41301, pc: 0x00005f98, module: mini_httpd
  [211] inode: 41301, pc: 0x00005f60, module: mini_httpd
