=== Trace for PID 2704 ===
Process: mini_httpd

--- Self PID 2704 Trace ---
  [165] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [166] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [167] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [168] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [169] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [170] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [171] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [172] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [173] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [174] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [175] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [176] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [177] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [178] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [179] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [180] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [181] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [182] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [183] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [184] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [185] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [186] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [187] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [188] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [189] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [190] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [191] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [192] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [193] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [194] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [195] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [196] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [197] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [198] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [199] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [200] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [201] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [202] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [203] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [204] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [205] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [206] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [207] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [208] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [209] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [210] inode: 57671, pc: 0x0000d7a8, module: mini_httpd
